distribution,uniform_mean,transport_mean,paired_delta_mean,paired_delta_ci_low,paired_delta_ci_high,positive,negative
uniform,0.04501936773616931,0.04679414271361422,0.0017747749774449035,3.6833351368668886e-05,0.0037571217460210435,True,False
x_uniform_center,0.04616473290701732,0.04795694236587188,0.0017922094588545523,-1.4044712592307586e-05,0.004062909011639763,False,False
x_cluster_center,0.054730739335891926,0.05626695776222433,0.0015362184263324084,-0.0008176714477078804,0.004292175066935003,False,False
x_mixed_center,0.0497538849864579,0.05089333964301303,0.0011394546565551302,-0.001913980883705098,0.004161000668023568,False,False
x_cluster_corner_quad,0.042923093370516294,0.04594591059290249,0.0030228172223861973,-0.0012634616164947524,0.009362939443978296,False,False
x_mixed_random_fewlarge,0.024834677792693292,0.023005149195358794,-0.0018295285973344965,-0.0036758984373941434,-0.00019033723428744055,False,True
